Session,Segments,Timestamp Log,Timecode,User_1,User_1_Pos,User_1_Role,Type,Emotion,Target_1,Target_1_Pos,Target_1_Role,Target_2,Target_2_Pos,Target_2_Role
Session 2,s4,2020-11-21T09:13:58.898856,2000-01-01 09:13:58,Bastien,C,Ecolo,Feeling,colere,comportement,comportement,comportement,Cyril,A,Corporate
Session 2,s4,2020-11-21T09:14:16.629442,2000-01-01 09:14:16,Aurore,B,Presse,Feeling,colere,temps,temps,temps,Cyril,A,Corporate
Session 2,s4,2020-11-21T09:14:21.371291,2000-01-01 09:14:21,Robot,Robot,Robot,Transmission,colere,groupe,groupe,groupe,,,
Session 2,s4,2020-11-21T09:14:22.257214,2000-01-01 09:14:22,Melanie,D,Econome,Feeling,colere,Cyril,A,Corporate,,,
Session 2,s4,2020-11-21T09:14:27.206399,2000-01-01 09:14:27,Melanie,D,Econome,Feeling,joie,Cyril,A,Corporate,Bastien,C,Ecolo
Session 2,s4,2020-11-21T09:14:36.232863,2000-01-01 09:14:36,Cyril,A,Corporate,Feeling,tristesse,Aurore,B,Presse,,,
Session 2,s4,2020-11-21T09:14:45.111510,2000-01-01 09:14:45,Cyril,A,Corporate,Feeling,colere,temps,temps,temps,groupe,groupe,groupe
Session 2,s4,2020-11-21T09:14:50.125988,2000-01-01 09:14:50,Robot,Robot,Robot,Transmission,colere,temps,temps,temps,groupe,groupe,groupe
Session 2,s4,2020-11-21T09:14:53.358109,2000-01-01 09:14:53,Bastien,C,Ecolo,Feeling,joie,comportement,comportement,comportement,Aurore,B,Presse
Session 2,s4,2020-11-21T09:15:14.172871,2000-01-01 09:15:14,Melanie,D,Econome,Feeling,joie,Bastien,C,Ecolo,,,
Session 2,s4,2020-11-21T09:15:19.321533,2000-01-01 09:15:19,Aurore,B,Presse,Feeling,colere,temps,temps,temps,Cyril,A,Corporate
Session 2,s4,2020-11-21T09:15:24.531804,2000-01-01 09:15:24,Cyril,A,Corporate,Feeling,colere,Melanie,D,Econome,Bastien,C,Ecolo
Session 2,s4,2020-11-21T09:15:29.216862,2000-01-01 09:15:29,Robot,Robot,Robot,Transmission,colere,groupe,groupe,groupe,,,
Session 2,s4,2020-11-21T09:15:41.954476,2000-01-01 09:15:41,Bastien,C,Ecolo,Feeling,peur,comportement,comportement,comportement,Cyril,A,Corporate
Session 2,s4,2020-11-21T09:15:42.078652,2000-01-01 09:15:42,Cyril,A,Corporate,Feeling,colere,Melanie,D,Econome,,,
Session 2,s4,2020-11-21T09:15:45.091675,2000-01-01 09:15:45,Cyril,A,Corporate,Feeling,colere,Bastien,C,Ecolo,,,
Session 2,s4,2020-11-21T09:15:51.891906,2000-01-01 09:15:51,Melanie,D,Econome,Feeling,joie,Bastien,C,Ecolo,Aurore,B,Presse
Session 2,s4,2020-11-21T09:16:15.231797,2000-01-01 09:16:15,Cyril,A,Corporate,Feeling,peur,comportement,comportement,comportement,groupe,groupe,groupe
Session 2,s4,2020-11-21T09:16:15.840304,2000-01-01 09:16:15,Robot,Robot,Robot,Transmission,peur,comportement,comportement,comportement,groupe,groupe,groupe
